train,cancel,08860,59
train,cancel,08868,80
train,cancel,08861,40
train,cancel,08859,83
train,cancel,08862,46
train,cancel,08863,53
train,weird,62821,45
train,weird,62819,76
train,weird,62818,92
train,weird,66762,46
train,better,06067,94
train,better,06069,48
train,better,06066,99
train,better,06075,103
train,better,65179,56
train,continue,12970,36
train,continue,12968,85
train,continue,12977,80
train,continue,12969,78
train,continue,12971,86
train,hug,28261,41
train,hug,65909,60
train,hug,28263,51
train,hug,28260,62
train,confused,12612,134
train,confused,65396,81
train,confused,65395,89
train,confused,12614,106
train,confused,12613,75
train,prove,45101,83
train,prove,45098,109
train,prove,45100,45
train,prove,45099,36
train,that,57671,60
train,that,66599,64
train,that,57670,103
train,that,57677,32
train,habit,26083,88
train,habit,26086,36
train,habit,26082,79
train,protect,66343,50
train,protect,45061,33
train,protect,45064,24
train,protect,45062,74
train,protect,45060,87
train,university,60761,100
train,university,60762,43
train,university,60768,98
train,university,66707,48
train,university,60763,74
train,university,60760,105
train,occur,39334,74
train,occur,39335,81
train,occur,39337,46
train,cake,69256,106
train,cake,65285,62
train,cake,08621,86
train,cake,08613,26
train,cake,08612,99
train,cake,65286,71
train,alcohol,01836,29
train,alcohol,01831,104
train,alcohol,01832,99
train,uncle,60459,30
train,uncle,60460,78
train,uncle,60457,95
train,uncle,60458,100
train,uncle,60465,95
train,admit,01120,139
train,admit,01118,34
train,admit,65021,43
train,admit,01127,90
train,plant,43090,78
train,plant,43081,82
train,plant,43079,56
train,plant,43078,190
train,fire,22015,49
train,fire,22019,87
train,calculate,08628,92
train,calculate,08626,45
train,calculate,08627,46
train,calculate,08625,51
train,calculate,08624,86
train,answer,02713,103
train,answer,02710,103
train,answer,02712,29
train,answer,02711,77
train,answer,65076,49
train,answer,02718,94
train,thing,69504,63
train,thing,57923,73
train,thing,66608,80
train,thing,57922,94
train,thing,57925,32
train,evaluate,19706,49
train,evaluate,19713,105
train,evaluate,19704,132
train,evaluate,19705,83
train,sometimes,53241,93
train,sometimes,53242,49
train,sometimes,53243,92
train,sometimes,53240,94
train,consider,12758,59
train,consider,12755,103
train,consider,12759,52
train,remember,47178,79
train,remember,47183,44
train,remember,66387,45
train,approach,03093,125
train,approach,03092,38
train,approach,03090,78
train,approach,65088,63
train,leave,32659,32
train,leave,32657,32
train,leave,32655,66
train,leave,66025,63
train,leave,32658,47
train,leave,32677,82
train,leave,32654,75
train,leave,32662,69
train,leave,32661,104
train,spin,53875,43
train,spin,53873,62
train,spin,53874,53
train,spin,53872,139
train,spin,53881,29
train,fine,21872,77
train,fine,21871,79
train,fine,21891,77
train,fine,21869,84
train,fine,21890,75
train,fine,21870,65
train,fine,21874,90
train,now,38999,30
train,now,39000,33
train,now,38990,78
train,now,38994,78
train,now,69413,60
train,chair,09851,92
train,chair,09848,96
train,chair,09854,30
train,chair,09869,93
train,chair,09850,31
train,chair,65328,59
train,chair,09849,81
train,public,45196,56
train,public,45194,90
train,public,45193,32
train,a,01612,30
train,a,01610,125
train,a,66039,62
train,send,50341,86
train,send,50331,31
train,send,50332,81
train,send,50330,98
train,girl,24607,51
train,girl,24605,62
train,girl,24606,82
train,girl,24614,80
train,girl,69342,74
train,girl,65817,43
train,love,34127,65
train,love,34121,81
train,love,34124,121
train,love,34129,46
train,love,34128,53
train,love,34123,34
train,lip,33403,70
train,lip,33407,45
train,lip,33404,86
train,forget,22954,43
train,forget,65761,42
train,forget,22960,41
train,forget,22955,66
train,when,69532,80
train,when,63066,85
train,when,63072,52
train,when,66773,56
train,present,44335,24
train,present,44347,30
train,present,44351,82
train,present,44344,47
train,present,44334,74
train,present,44333,87
train,full,23775,50
train,full,23771,92
train,full,23776,38
train,full,23774,56
train,full,23782,73
train,full,23766,76
train,full,65792,42
train,heart,27051,37
train,heart,27050,36
train,heart,27046,74
train,heart,27042,82
train,heart,27044,45
train,minute,36244,33
train,minute,66128,77
train,minute,36242,65
train,minute,66127,59
train,minute,36251,86
train,minute,36249,29
train,minute,36243,67
train,believe,65171,59
train,believe,65170,75
train,believe,05853,64
train,believe,05854,35
train,believe,05855,33
train,tonight,58834,110
train,tonight,58838,33
train,tonight,58836,76
train,tonight,58835,56
train,odd,39378,160
train,odd,39379,76
train,odd,39382,45
train,sick,51507,47
train,sick,69470,73
train,sick,51502,77
train,sick,51503,92
train,sick,51504,109
train,sick,51517,85
train,result,47734,71
train,result,47738,96
train,result,47732,37
train,result,47731,93
train,result,47733,40
train,result,66399,59
train,o,66053,48
train,o,39553,123
train,o,39555,30
train,whatever,62953,86
train,whatever,62952,117
train,whatever,66772,63
train,suspend,56176,79
train,suspend,56178,44
train,suspend,56175,37
train,next,38243,80
train,next,38238,33
train,next,38231,115
train,meaning,35307,53
train,meaning,35306,68
train,sun,55804,93
train,sun,55814,90
train,sun,55805,38
train,sun,55803,125
train,hang up,26472,89
train,hang up,26463,31
train,hang up,26464,34
train,their,57729,51
train,their,57725,95
train,their,57728,31
train,their,57726,80
train,last,32255,28
train,last,32253,31
train,last,32248,28
train,last,32254,33
train,last,32246,97
train,last,66010,52
train,last,32249,90
train,last,32263,97
train,last,32250,57
train,concept,12402,38
train,concept,65392,81
train,concept,12408,98
train,concept,12403,80
train,upset,60949,65
train,upset,66711,59
train,upset,60948,118
train,upset,60950,33
train,upset,66712,45
train,upset,60951,34
train,upset,60956,82
train,morning,36857,77
train,morning,36858,80
train,morning,36859,56
train,morning,36866,78
train,speed,53737,28
train,speed,53741,44
train,speed,53738,78
train,speed,53736,102
train,kill,31649,60
train,kill,65992,61
train,kill,31655,30
train,honest,27823,74
train,honest,27826,44
train,honest,27824,72
train,honest,27827,34
train,elephant,18772,39
train,elephant,18771,106
train,elephant,18770,68
train,elephant,65620,66
